Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date,Actual Sell
ASTS,103,Buy,2.9000000953674316,9910.104999780655,18,9962.305001497269,2024-03-28,True
ASTS,104,Sell,2.630000114440918,9910.104999780655,18,9957.445001840591,2024-04-01,True
ASTS,105,Sell,2.009999990463257,9910.104999780655,18,9946.284999608994,2024-04-02,True
ASTS,106,Hold,2.319999933242798,9910.104999780655,18,9951.864998579025,2024-04-03,True
ASTS,107,Sell,2.25,9910.104999780655,18,9950.604999780655,2024-04-04,True
ASTS,108,Sell,2.2049999237060547,9910.104999780655,18,9949.794998407364,2024-04-05,True
ASTS,109,Hold,2.2699999809265137,9910.104999780655,18,9950.964999437332,2024-04-08,True
ASTS,110,Sell,2.309999942779541,9910.104999780655,18,9951.684998750687,2024-04-09,True
ASTS,111,Sell,2.140000104904175,9910.104999780655,18,9948.62500166893,2024-04-10,True
ASTS,112,Sell,2.109999895095825,9912.21499967575,17,9948.08499789238,2024-04-11,True
ASTS,113,Sell,2.130000114440918,9914.344999790192,16,9948.425001621246,2024-04-12,True
ASTS,114,Sell,2.0799999237060547,9916.424999713898,15,9947.624998569489,2024-04-15,True
ASTS,115,Buy,2.0199999809265137,9914.404999732971,16,9946.724999427795,2024-04-16,True
ASTS,116,Sell,2.049999952316284,9914.404999732971,16,9947.204998970032,2024-04-17,True
ASTS,117,Hold,2.140000104904175,9914.404999732971,16,9948.645001411438,2024-04-18,True
ASTS,118,Buy,2.0899999141693115,9912.314999818802,17,9947.84499835968,2024-04-19,True
ASTS,119,Hold,2.1600000858306885,9912.314999818802,17,9949.035001277924,2024-04-22,True
ASTS,120,Buy,2.1500000953674316,9910.164999723434,18,9948.865001440048,2024-04-23,True
ASTS,121,Buy,2.140000104904175,9908.02499961853,19,9948.68500161171,2024-04-24,True
ASTS,122,Hold,2.190000057220459,9908.02499961853,19,9949.635000705719,2024-04-25,True
ASTS,123,Buy,2.2300000190734863,9905.794999599457,20,9950.394999980927,2024-04-26,True
ASTS,124,Hold,2.3299999237060547,9905.794999599457,20,9952.394998073578,2024-04-29,True
ASTS,125,Buy,2.2100000381469727,9903.58499956131,21,9949.995000362396,2024-04-30,True
ASTS,126,Hold,2.259999990463257,9903.58499956131,21,9951.044999361038,2024-05-01,True
ASTS,127,Buy,2.299999952316284,9901.284999608994,22,9951.884998559952,2024-05-02,True
ASTS,128,Hold,2.450000047683716,9901.284999608994,22,9955.185000658035,2024-05-03,True
ASTS,129,Buy,2.4800000190734863,9898.80499958992,23,9955.84500002861,2024-05-06,True
ASTS,130,Buy,2.319999933242798,9896.484999656677,24,9952.164998054504,2024-05-07,True
ASTS,131,Buy,2.299999952316284,9894.184999704361,25,9951.684998512268,2024-05-08,True
ASTS,132,Hold,2.359999895095825,9894.184999704361,25,9953.184997081757,2024-05-09,True
ASTS,133,Buy,2.259999990463257,9891.924999713898,26,9950.684999465942,2024-05-10,True
ASTS,134,Buy,2.240000009536743,9889.684999704361,27,9950.164999961853,2024-05-13,True
ASTS,135,Hold,2.509999990463257,9889.684999704361,27,9957.454999446869,2024-05-14,True
ASTS,136,Buy,2.390000104904175,9887.294999599457,28,9954.215002536774,2024-05-15,True
ASTS,137,Hold,4.03000020980835,9887.294999599457,28,10000.13500547409,2024-05-16,True
ASTS,138,Hold,4.539999961853027,9887.294999599457,28,10014.414998531342,2024-05-17,True
ASTS,139,Hold,5.28000020980835,9887.294999599457,28,10035.13500547409,2024-05-20,True
ASTS,140,Buy,4.710000038146973,9882.58499956131,29,10019.175000667572,2024-05-21,True
ASTS,141,Buy,4.65500020980835,9877.929999351501,30,10017.580005645752,2024-05-22,True
ASTS,142,Buy,4.139999866485596,9873.789999485016,31,10002.12999534607,2024-05-23,True
ASTS,143,Hold,4.739999771118164,9873.789999485016,31,10020.729992389679,2024-05-24,True
ASTS,144,Hold,5.329999923706055,9873.789999485016,31,10039.019997119904,2024-05-28,True
ASTS,145,Hold,9.020000457763672,9873.789999485016,31,10153.41001367569,2024-05-29,True
ASTS,146,Buy,8.40999984741211,9865.379999637604,32,10134.499994754791,2024-05-30,True
ASTS,147,Buy,8.274999618530273,9857.105000019073,33,10130.179987430573,2024-05-31,True
ASTS,148,Buy,8.380000114440918,9848.724999904633,34,10133.645003795624,2024-06-03,True
ASTS,149,Hold,8.670000076293945,9848.724999904633,34,10143.505002498627,2024-06-04,True
ASTS,150,Buy,8.789999961853027,9839.93499994278,35,10147.584998607635,2024-06-05,True
ASTS,151,Hold,9.319999694824219,9839.93499994278,35,10166.134989261627,2024-06-06,True
ASTS,152,Buy,8.619999885559082,9831.31500005722,36,10141.634995937347,2024-06-07,True
ASTS,153,Buy,8.479999542236328,9822.835000514984,37,10136.594983577728,2024-06-10,True
ASTS,154,Hold,9.869999885559082,9822.835000514984,37,10188.02499628067,2024-06-11,True
ASTS,155,Buy,9.760000228881836,9813.075000286102,38,10183.955008983612,2024-06-12,True
ASTS,156,Hold,9.979999542236328,9813.075000286102,38,10192.314982891083,2024-06-13,True
ASTS,157,Hold,10.220000267028809,9813.075000286102,38,10201.435010433197,2024-06-14,True
ASTS,158,Hold,11.75,9813.075000286102,38,10259.575000286102,2024-06-17,True
ASTS,159,Buy,11.390000343322754,9801.68499994278,39,10245.895013332367,2024-06-18,True
ASTS,160,Buy,11.220000267028809,9790.46499967575,40,10239.265010356903,2024-06-20,True
ASTS,161,Buy,10.079999923706055,9780.384999752045,41,10193.664996623993,2024-06-21,True
ASTS,162,Hold,10.329999923706055,9780.384999752045,41,10203.914996623993,2024-06-24,True
ASTS,163,Hold,10.979999542236328,9780.384999752045,41,10230.564980983734,2024-06-25,True
ASTS,164,Hold,11.229999542236328,9780.384999752045,41,10240.814980983734,2024-06-26,True
ASTS,165,Buy,11.449999809265137,9768.93499994278,42,10249.834991931915,2024-06-27,True
ASTS,166,Buy,11.609999656677246,9757.325000286102,43,10256.554985523224,2024-06-28,True
ASTS,167,Buy,10.84000015258789,9746.485000133514,44,10223.445006847382,2024-07-01,True
ASTS,168,Sell,10.720000267028809,9746.485000133514,44,10218.165011882782,2024-07-02,True
ASTS,169,Hold,11.369999885559082,9746.485000133514,44,10246.764995098114,2024-07-03,True
ASTS,170,Hold,12.399999618530273,9746.485000133514,44,10292.084983348846,2024-07-05,True
ASTS,171,Sell,12.100000381469727,9746.485000133514,44,10278.885016918182,2024-07-08,True
ASTS,172,Sell,12.140000343322754,9746.485000133514,44,10280.645015239716,2024-07-09,True
ASTS,173,Buy,11.880000114440918,9734.605000019073,45,10269.205005168915,2024-07-10,True
ASTS,174,Buy,11.899999618530273,9722.705000400543,46,10270.104982852936,2024-07-11,True
ASTS,175,Hold,13.010000228881836,9722.705000400543,46,10321.165010929108,2024-07-12,True
ASTS,176,Hold,13.479999542236328,9722.705000400543,46,10342.784979343414,2024-07-15,True
ASTS,177,Buy,13.710000038146973,9708.995000362396,47,10353.365002155304,2024-07-16,True
ASTS,178,Buy,13.399999618530273,9695.595000743866,48,10338.79498243332,2024-07-17,True
ASTS,179,Buy,12.380000114440918,9683.215000629425,49,10289.83500623703,2024-07-18,True
ASTS,180,Hold,12.84000015258789,9683.215000629425,49,10312.375008106232,2024-07-19,True
ASTS,181,Buy,12.800000190734863,9670.41500043869,50,10310.415009975433,2024-07-22,True
ASTS,182,Hold,13.84000015258789,9670.41500043869,50,10362.415008068085,2024-07-23,True
ASTS,183,Buy,13.359999656677246,9657.055000782013,51,10338.414983272552,2024-07-24,True
ASTS,184,Hold,16.639999389648438,9657.055000782013,51,10505.694969654083,2024-07-25,True
ASTS,185,Hold,18.84000015258789,9657.055000782013,51,10617.895008563995,2024-07-26,True
ASTS,186,Buy,18.8700008392334,9638.18499994278,52,10619.425043582916,2024-07-29,True
ASTS,187,Buy,17.520000457763672,9620.664999485016,53,10549.22502374649,2024-07-30,True
ASTS,188,Hold,20.68000030517578,9620.664999485016,53,10716.705015659332,2024-07-31,True
ASTS,189,Buy,20.440000534057617,9600.224998950958,54,10703.98502779007,2024-08-01,True
ASTS,190,Buy,18.510000228881836,9581.714998722076,55,10599.765011310577,2024-08-02,True
ASTS,191,Buy,18.59000015258789,9563.124998569489,56,10604.16500711441,2024-08-05,True
ASTS,192,Hold,19.530000686645508,9563.124998569489,56,10656.805037021637,2024-08-06,True
ASTS,193,Buy,19.639999389648438,9543.48499917984,57,10662.964964389801,2024-08-07,True
ASTS,194,Hold,22.31999969482422,9543.48499917984,57,10815.72498178482,2024-08-08,True
ASTS,195,Buy,21.209999084472656,9522.275000095367,58,10752.454946994781,2024-08-09,True
